ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Player A,Player B,ARank,BRank,APts,BPts,A1,B1,A2,B2,A3,B3,A4,B4,A5,B5,Asets,Bsets,Comment,B365A,B365B,PSA,PSB,Result
1,Brisbane,Brisbane International,2012-12-31,ATP250,Outdoor,Hard,1st Round,3,Mayer F.,Giraldo S.,28.0,57.0,1215.0,778.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.36,3.0,1.47,2.85,1.0
1,Brisbane,Brisbane International,2012-12-31,ATP250,Outdoor,Hard,1st Round,3,Benneteau J.,Nieminen J.,35.0,41.0,1075.0,927.0,3.0,6.0,6.0,2.0,1.0,6.0,,,,,1.0,2.0,Completed,2.2,1.61,2.1,1.8,0.0
1,Brisbane,Brisbane International,2012-12-31,ATP250,Outdoor,Hard,1st Round,3,Matosevic M.,Nishikori K.,49.0,19.0,845.0,1830.0,5.0,7.0,2.0,6.0,,,,,,,0.0,2.0,Completed,3.75,1.25,3.85,1.3,0.0
1,Brisbane,Brisbane International,2012-12-31,ATP250,Outdoor,Hard,1st Round,3,Baghdatis M.,Mitchell B.,36.0,326.0,1070.0,137.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.07,9.0,1.08,9.43,1.0
1,Brisbane,Brisbane International,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Istomin D.,Klizan M.,43.0,30.0,897.0,1175.0,6.0,1.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.9,1.8,1.88,2.0,1.0
1,Brisbane,Brisbane International,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Millman J.,Ito T.,199.0,79.0,239.0,655.0,6.0,4.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.61,2.2,1.7,2.27,1.0
1,Brisbane,Brisbane International,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Levine J.,Falla A.,104.0,54.0,530.0,809.0,1.0,6.0,6.0,7.0,,,,,,,0.0,2.0,Completed,1.61,2.2,1.7,2.26,0.0
1,Brisbane,Brisbane International,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Kudla D.,Melzer J.,137.0,29.0,402.0,1177.0,6.0,2.0,4.0,6.0,4.0,6.0,,,,,1.0,2.0,Completed,2.62,1.44,2.47,1.6,0.0
1,Brisbane,Brisbane International,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Robredo T.,Harrison R.,114.0,69.0,495.0,710.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,3.0,1.36,2.93,1.45,1.0
1,Brisbane,Brisbane International,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Dimitrov G.,Baker B.,48.0,61.0,866.0,756.0,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.36,3.0,1.38,3.3,1.0
1,Brisbane,Brisbane International,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Ebden M.,Goffin D.,105.0,46.0,529.0,868.0,2.0,6.0,2.0,6.0,,,,,,,0.0,2.0,Completed,2.25,1.57,2.36,1.65,0.0
1,Brisbane,Brisbane International,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Kunitsyn I.,Hewitt L.,162.0,83.0,339.0,625.0,3.0,6.0,6.0,4.0,2.0,6.0,,,,,1.0,2.0,Completed,4.33,1.2,4.02,1.28,0.0
1,Brisbane,Brisbane International,2013-01-02,ATP250,Outdoor,Hard,2nd Round,3,Falla A.,Simon G.,54.0,16.0,809.0,2165.0,6.0,7.0,6.0,7.0,,,,,,,0.0,2.0,Completed,4.0,1.22,4.01,1.29,0.0
1,Brisbane,Brisbane International,2013-01-02,ATP250,Outdoor,Hard,2nd Round,3,Baghdatis M.,Mayer F.,36.0,28.0,1070.0,1215.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.44,2.62,1.52,2.73,1.0
1,Brisbane,Brisbane International,2013-01-02,ATP250,Outdoor,Hard,2nd Round,3,Robredo T.,Nishikori K.,114.0,19.0,495.0,1830.0,3.0,6.0,3.0,6.0,,,,,,,0.0,2.0,Completed,4.0,1.22,4.18,1.27,0.0
1,Brisbane,Brisbane International,2013-01-02,ATP250,Outdoor,Hard,2nd Round,3,Dolgopolov O.,Nieminen J.,18.0,41.0,1855.0,927.0,6.0,2.0,4.0,1.0,,,,,,,1.0,0.0,Retired,1.44,2.62,1.55,2.64,1.0
1,Brisbane,Brisbane International,2013-01-03,ATP250,Outdoor,Hard,2nd Round,3,Raonic M.,Dimitrov G.,13.0,48.0,2380.0,866.0,3.0,6.0,4.0,6.0,,,,,,,0.0,2.0,Completed,1.4,2.75,1.49,2.83,0.0
1,Brisbane,Brisbane International,2013-01-03,ATP250,Outdoor,Hard,2nd Round,3,Goffin D.,Melzer J.,46.0,29.0,868.0,1177.0,4.0,6.0,6.0,7.0,,,,,,,0.0,2.0,Completed,1.57,2.25,1.64,2.41,0.0
1,Brisbane,Brisbane International,2013-01-03,ATP250,Outdoor,Hard,2nd Round,3,Hewitt L.,Istomin D.,83.0,43.0,625.0,897.0,5.0,7.0,5.0,7.0,,,,,,,0.0,2.0,Completed,1.83,1.83,1.94,1.96,0.0
1,Brisbane,Brisbane International,2013-01-03,ATP250,Outdoor,Hard,2nd Round,3,Millman J.,Murray A.,199.0,3.0,239.0,8000.0,1.0,6.0,7.0,5.0,3.0,6.0,,,,,1.0,2.0,Completed,17.0,1.02,17.5,1.03,0.0
1,Brisbane,Brisbane International,2013-01-04,ATP250,Outdoor,Hard,Quarterfinals,3,Baghdatis M.,Simon G.,36.0,16.0,1070.0,2165.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.57,2.25,1.7,2.32,1.0
1,Brisbane,Brisbane International,2013-01-04,ATP250,Outdoor,Hard,Quarterfinals,3,Dolgopolov O.,Nishikori K.,18.0,19.0,1855.0,1830.0,4.0,6.0,6.0,7.0,,,,,,,0.0,2.0,Completed,2.2,1.61,2.31,1.7,0.0
1,Brisbane,Brisbane International,2013-01-04,ATP250,Outdoor,Hard,Quarterfinals,3,Dimitrov G.,Melzer J.,48.0,29.0,866.0,1177.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.4,2.75,1.43,3.14,1.0
1,Brisbane,Brisbane International,2013-01-04,ATP250,Outdoor,Hard,Quarterfinals,3,Murray A.,Istomin D.,3.0,43.0,8000.0,897.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.11,6.5,1.11,8.36,1.0
1,Brisbane,Brisbane International,2013-01-05,ATP250,Outdoor,Hard,Semifinals,3,Dimitrov G.,Baghdatis M.,48.0,36.0,866.0,1070.0,6.0,3.0,5.0,7.0,7.0,6.0,,,,,2.0,1.0,Completed,1.72,2.0,1.88,2.04,1.0
1,Brisbane,Brisbane International,2013-01-05,ATP250,Outdoor,Hard,Semifinals,3,Nishikori K.,Murray A.,19.0,3.0,1830.0,8000.0,4.0,6.0,0.0,2.0,,,,,,,0.0,1.0,Retired,4.5,1.18,4.47,1.26,0.0
1,Brisbane,Brisbane International,2013-01-06,ATP250,Outdoor,Hard,The Final,3,Dimitrov G.,Murray A.,48.0,3.0,866.0,8000.0,6.0,7.0,4.0,6.0,,,,,,,0.0,2.0,Completed,5.5,1.14,6.27,1.16,0.0
2,Chennai,Chennai Open,2012-12-31,ATP250,Outdoor,Hard,1st Round,3,Donskoy E.,Soeda G.,81.0,60.0,637.0,758.0,1.0,6.0,2.0,6.0,,,,,,,0.0,2.0,Completed,1.8,1.9,1.9,1.99,0.0
2,Chennai,Chennai Open,2012-12-31,ATP250,Outdoor,Hard,1st Round,3,Bedene A.,Sousa J.,86.0,101.0,583.0,546.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.36,3.0,1.43,3.03,1.0
2,Chennai,Chennai Open,2012-12-31,ATP250,Outdoor,Hard,1st Round,3,Bhambri Y.,Haase R.,217.0,56.0,220.0,780.0,5.0,7.0,3.0,6.0,,,,,,,0.0,2.0,Completed,4.0,1.22,4.08,1.28,0.0
2,Chennai,Chennai Open,2012-12-31,ATP250,Outdoor,Hard,1st Round,3,Roger-Vasselin E.,Kuznetsov An.,102.0,78.0,545.0,660.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.53,2.37,1.63,2.4,1.0
2,Chennai,Chennai Open,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Bachinger M.,Lu Y.H.,123.0,59.0,462.0,759.0,6.0,4.0,3.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,3.0,1.36,3.01,1.43,1.0
2,Chennai,Chennai Open,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Stebe C-M.,Sijsling I.,177.0,68.0,295.0,712.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.5,1.5,2.55,1.57,1.0
2,Chennai,Chennai Open,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Rufin G.,Amritraj P.,92.0,549.0,574.0,51.0,7.0,6.0,2.0,6.0,3.0,6.0,,,,,1.0,2.0,Completed,1.4,2.75,1.45,2.94,0.0
2,Chennai,Chennai Open,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Bautista R.,Kavcic B.,80.0,94.0,648.0,569.0,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.44,2.62,1.53,2.67,1.0
2,Chennai,Chennai Open,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Paire B.,Cipolla F.,47.0,95.0,867.0,568.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.44,2.62,1.56,2.57,1.0
2,Chennai,Chennai Open,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Devvarman S.,Hajek J.,663.0,106.0,32.0,527.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.44,2.62,1.54,2.62,1.0
2,Chennai,Chennai Open,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Ram R.,Sela D.,132.0,109.0,427.0,512.0,4.0,6.0,1.0,6.0,,,,,,,0.0,2.0,Completed,2.37,1.53,2.43,1.63,0.0
2,Chennai,Chennai Open,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Bemelmans R.,Stakhovsky S.,111.0,103.0,509.0,538.0,6.0,7.0,6.0,7.0,,,,,,,0.0,2.0,Completed,1.72,2.0,1.85,2.05,0.0
2,Chennai,Chennai Open,2013-01-02,ATP250,Outdoor,Hard,2nd Round,3,Bedene A.,Haase R.,86.0,56.0,583.0,780.0,7.0,5.0,6.0,3.0,,,,,,,2.0,0.0,Completed,2.2,1.61,2.22,1.74,1.0
2,Chennai,Chennai Open,2013-01-02,ATP250,Outdoor,Hard,2nd Round,3,Soeda G.,Amritraj P.,60.0,549.0,758.0,51.0,7.0,6.0,3.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,1.28,3.5,1.36,3.48,1.0
2,Chennai,Chennai Open,2013-01-02,ATP250,Outdoor,Hard,2nd Round,3,Roger-Vasselin E.,Tipsarevic J.,102.0,9.0,545.0,2990.0,2.0,6.0,3.0,6.0,,,,,,,0.0,2.0,Completed,5.5,1.14,5.16,1.2,0.0
2,Chennai,Chennai Open,2013-01-02,ATP250,Outdoor,Hard,2nd Round,3,Wawrinka S.,Stebe C-M.,17.0,177.0,1900.0,295.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.2,4.33,1.26,4.38,1.0
2,Chennai,Chennai Open,2013-01-03,ATP250,Outdoor,Hard,2nd Round,3,Sela D.,Paire B.,109.0,47.0,512.0,867.0,1.0,6.0,0.0,6.0,,,,,,,0.0,2.0,Completed,2.37,1.53,2.3,1.69,0.0
2,Chennai,Chennai Open,2013-01-03,ATP250,Outdoor,Hard,2nd Round,3,Cilic M.,Stakhovsky S.,15.0,103.0,2210.0,538.0,4.0,6.0,6.0,2.0,6.0,3.0,,,,,2.0,1.0,Completed,1.18,4.5,1.23,4.77,1.0
2,Chennai,Chennai Open,2013-01-03,ATP250,Outdoor,Hard,2nd Round,3,Bautista R.,Bachinger M.,80.0,123.0,648.0,462.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.8,1.9,1.91,2.01,1.0
2,Chennai,Chennai Open,2013-01-03,ATP250,Outdoor,Hard,2nd Round,3,Devvarman S.,Berdych T.,663.0,6.0,32.0,4680.0,3.0,6.0,1.0,6.0,,,,,,,0.0,2.0,Completed,9.0,1.07,9.85,1.08,0.0
2,Chennai,Chennai Open,2013-01-04,ATP250,Outdoor,Hard,Quarterfinals,3,Cilic M.,Paire B.,15.0,47.0,2210.0,867.0,4.0,6.0,6.0,1.0,5.0,7.0,,,,,1.0,2.0,Completed,1.28,3.5,1.36,3.49,0.0
2,Chennai,Chennai Open,2013-01-04,ATP250,Outdoor,Hard,Quarterfinals,3,Bedene A.,Wawrinka S.,86.0,17.0,583.0,1900.0,6.0,2.0,7.0,6.0,,,,,,,2.0,0.0,Completed,5.5,1.14,5.92,1.18,1.0
2,Chennai,Chennai Open,2013-01-04,ATP250,Outdoor,Hard,Quarterfinals,3,Tipsarevic J.,Soeda G.,9.0,60.0,2990.0,758.0,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.1,7.0,1.13,7.65,1.0
2,Chennai,Chennai Open,2013-01-04,ATP250,Outdoor,Hard,Quarterfinals,3,Berdych T.,Bautista R.,6.0,80.0,4680.0,648.0,5.0,7.0,6.0,2.0,3.0,6.0,,,,,1.0,2.0,Completed,1.06,10.0,1.07,11.25,0.0
2,Chennai,Chennai Open,2013-01-05,ATP250,Outdoor,Hard,Semifinals,3,Tipsarevic J.,Bedene A.,9.0,86.0,2990.0,583.0,4.0,6.0,6.0,2.0,6.0,2.0,,,,,2.0,1.0,Completed,1.12,6.0,1.17,6.16,1.0
2,Chennai,Chennai Open,2013-01-05,ATP250,Outdoor,Hard,Semifinals,3,Bautista R.,Paire B.,80.0,47.0,648.0,867.0,3.0,6.0,6.0,1.0,6.0,4.0,,,,,2.0,1.0,Completed,2.25,1.57,2.36,1.68,1.0
2,Chennai,Chennai Open,2013-01-06,ATP250,Outdoor,Hard,The Final,3,Tipsarevic J.,Bautista R.,9.0,80.0,2990.0,648.0,3.0,6.0,6.0,1.0,6.0,3.0,,,,,2.0,1.0,Completed,1.16,5.0,1.24,4.68,1.0
3,Doha,Qatar Exxon Mobil Open,2012-12-31,ATP250,Outdoor,Hard,1st Round,3,Bolelli S.,Gimeno-Traver D.,84.0,70.0,623.0,704.0,6.0,3.0,6.0,7.0,7.0,6.0,,,,,2.0,1.0,Completed,1.5,2.5,1.49,2.8,1.0
3,Doha,Qatar Exxon Mobil Open,2012-12-31,ATP250,Outdoor,Hard,1st Round,3,Ramos A.,Lorenzi P.,50.0,64.0,830.0,744.0,6.0,7.0,1.0,6.0,,,,,,,0.0,2.0,Completed,1.44,2.62,1.51,2.73,0.0
3,Doha,Qatar Exxon Mobil Open,2012-12-31,ATP250,Outdoor,Hard,1st Round,3,Hanescu V.,Davydenko N.,62.0,44.0,753.0,885.0,2.0,6.0,3.0,6.0,,,,,,,0.0,2.0,Completed,3.25,1.33,3.92,1.29,0.0
3,Doha,Qatar Exxon Mobil Open,2012-12-31,ATP250,Outdoor,Hard,1st Round,3,Zemlja G.,Fognini F.,55.0,45.0,782.0,880.0,6.0,2.0,3.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,1.57,2.25,1.73,2.22,1.0
3,Doha,Qatar Exxon Mobil Open,2012-12-31,ATP250,Outdoor,Hard,1st Round,3,Phau B.,Troicki V.,75.0,38.0,668.0,1055.0,3.0,6.0,6.0,3.0,4.0,6.0,,,,,1.0,2.0,Completed,3.0,1.36,3.26,1.38,0.0
3,Doha,Qatar Exxon Mobil Open,2012-12-31,ATP250,Outdoor,Hard,1st Round,3,Kohlschreiber P.,Dodig I.,20.0,72.0,1770.0,695.0,7.0,6.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.44,2.62,1.54,2.63,1.0
3,Doha,Qatar Exxon Mobil Open,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Garcia-Lopez G.,Lacko L.,76.0,51.0,667.0,827.0,1.0,6.0,6.0,2.0,4.0,6.0,,,,,1.0,2.0,Completed,2.25,1.57,2.42,1.63,0.0
3,Doha,Qatar Exxon Mobil Open,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Rosol L.,Andujar P.,73.0,42.0,679.0,915.0,6.0,2.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.36,3.0,1.44,2.98,1.0
3,Doha,Qatar Exxon Mobil Open,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Becker B.,Youzhny M.,65.0,25.0,741.0,1335.0,6.0,4.0,6.0,7.0,1.0,6.0,,,,,1.0,2.0,Completed,4.0,1.22,4.05,1.28,0.0
3,Doha,Qatar Exxon Mobil Open,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Safwat M.,Ali Mutawa J.M.,455.0,,78.0,,6.0,0.0,6.0,0.0,,,,,,,2.0,0.0,Completed,1.02,19.0,1.03,18.68,1.0
3,Doha,Qatar Exxon Mobil Open,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Chardy J.,Brands D.,32.0,153.0,1131.0,367.0,4.0,6.0,4.0,6.0,,,,,,,0.0,2.0,Completed,1.5,2.5,1.56,2.56,0.0
3,Doha,Qatar Exxon Mobil Open,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Gasquet R.,Hernych J.,10.0,193.0,2515.0,245.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.12,6.0,1.11,7.72,1.0
3,Doha,Qatar Exxon Mobil Open,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Monfils G.,Zayed M. S.,77.0,1855.0,660.0,1.0,6.0,0.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.02,19.0,1.02,20.52,1.0
3,Doha,Qatar Exxon Mobil Open,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Ramirez-Hidalgo R.,Kamke T.,50.0,98.0,830.0,563.0,1.0,6.0,2.0,6.0,,,,,,,0.0,2.0,Completed,6.0,1.12,6.16,1.15,0.0
3,Doha,Qatar Exxon Mobil Open,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Brown D.,Ferrer D.,167.0,5.0,322.0,6505.0,7.0,5.0,3.0,6.0,2.0,6.0,,,,,1.0,2.0,Completed,15.0,1.03,15.56,1.03,0.0
3,Doha,Qatar Exxon Mobil Open,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Kubot L.,Lopez F.,74.0,40.0,675.0,1005.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2.62,1.44,2.68,1.52,1.0
3,Doha,Qatar Exxon Mobil Open,2013-01-02,ATP250,Outdoor,Hard,2nd Round,3,Safwat M.,Brands D.,455.0,153.0,78.0,367.0,6.0,4.0,3.0,6.0,2.0,6.0,,,,,1.0,2.0,Completed,6.5,1.11,7.93,1.11,0.0
3,Doha,Qatar Exxon Mobil Open,2013-01-02,ATP250,Outdoor,Hard,2nd Round,3,Rosol L.,Lorenzi P.,73.0,64.0,679.0,744.0,0.0,6.0,4.0,6.0,,,,,,,0.0,2.0,Completed,1.33,3.25,1.35,3.52,0.0
3,Doha,Qatar Exxon Mobil Open,2013-01-02,ATP250,Outdoor,Hard,2nd Round,3,Davydenko N.,Youzhny M.,44.0,25.0,885.0,1335.0,7.0,5.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.66,2.1,1.83,2.09,1.0
3,Doha,Qatar Exxon Mobil Open,2013-01-02,ATP250,Outdoor,Hard,2nd Round,3,Bolelli S.,Kubot L.,84.0,74.0,623.0,675.0,2.0,6.0,6.0,4.0,6.0,4.0,,,,,2.0,1.0,Completed,2.62,1.44,3.05,1.43,1.0
3,Doha,Qatar Exxon Mobil Open,2013-01-02,ATP250,Outdoor,Hard,2nd Round,3,Kohlschreiber P.,Monfils G.,20.0,77.0,1770.0,660.0,4.0,6.0,6.0,2.0,4.0,6.0,,,,,1.0,2.0,Completed,1.53,2.37,1.66,2.37,0.0
3,Doha,Qatar Exxon Mobil Open,2013-01-02,ATP250,Outdoor,Hard,2nd Round,3,Troicki V.,Lacko L.,38.0,51.0,1055.0,827.0,3.0,6.0,5.0,7.0,,,,,,,0.0,2.0,Completed,1.61,2.2,1.77,2.18,0.0
3,Doha,Qatar Exxon Mobil Open,2013-01-02,ATP250,Outdoor,Hard,2nd Round,3,Zemlja G.,Gasquet R.,55.0,10.0,782.0,2515.0,7.0,6.0,4.0,6.0,6.0,7.0,,,,,1.0,2.0,Completed,5.0,1.16,5.65,1.18,0.0
3,Doha,Qatar Exxon Mobil Open,2013-01-02,ATP250,Outdoor,Hard,2nd Round,3,Ferrer D.,Kamke T.,5.0,98.0,6505.0,563.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.06,10.0,1.07,11.25,1.0
3,Doha,Qatar Exxon Mobil Open,2013-01-03,ATP250,Outdoor,Hard,Quarterfinals,3,Monfils G.,Brands D.,77.0,153.0,660.0,367.0,1.0,6.0,5.0,7.0,,,,,,,0.0,2.0,Completed,1.2,4.33,1.26,4.4,0.0
3,Doha,Qatar Exxon Mobil Open,2013-01-03,ATP250,Outdoor,Hard,Quarterfinals,3,Gasquet R.,Lacko L.,10.0,51.0,2515.0,827.0,6.0,1.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.3,3.4,1.36,3.48,1.0
3,Doha,Qatar Exxon Mobil Open,2013-01-03,ATP250,Outdoor,Hard,Quarterfinals,3,Lorenzi P.,Ferrer D.,64.0,5.0,744.0,6505.0,3.0,6.0,0.0,6.0,,,,,,,0.0,2.0,Completed,17.0,1.02,17.0,1.04,0.0
3,Doha,Qatar Exxon Mobil Open,2013-01-03,ATP250,Outdoor,Hard,Quarterfinals,3,Davydenko N.,Bolelli S.,44.0,84.0,885.0,623.0,6.0,1.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.16,5.0,1.2,5.46,1.0
3,Doha,Qatar Exxon Mobil Open,2013-01-04,ATP250,Outdoor,Hard,Semifinals,3,Brands D.,Gasquet R.,153.0,10.0,367.0,2515.0,5.0,7.0,5.0,7.0,,,,,,,0.0,2.0,Completed,4.33,1.2,4.43,1.26,0.0
3,Doha,Qatar Exxon Mobil Open,2013-01-04,ATP250,Outdoor,Hard,Semifinals,3,Davydenko N.,Ferrer D.,44.0,5.0,885.0,6505.0,6.0,2.0,6.0,3.0,,,,,,,2.0,0.0,Completed,3.5,1.28,4.26,1.27,1.0
3,Doha,Qatar Exxon Mobil Open,2013-01-05,ATP250,Outdoor,Hard,The Final,3,Gasquet R.,Davydenko N.,10.0,44.0,2515.0,885.0,3.0,6.0,7.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,2.37,1.57,2.4,1.66,1.0
4,Auckland,Heineken Open,2013-01-07,ATP250,Outdoor,Hard,1st Round,3,Goffin D.,Bellucci T.,50.0,32.0,843.0,1112.0,6.0,7.0,2.0,6.0,,,,,,,0.0,2.0,Completed,1.57,2.25,1.69,2.29,0.0
