ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Player A,Player B,ARank,BRank,APts,BPts,A1,B1,A2,B2,A3,B3,A4,B4,A5,B5,Asets,Bsets,Comment,B365A,B365B,PSA,PSB,Result
1,Brisbane,Brisbane International,2018-12-31,ATP250,Outdoor,Hard,1st Round,3,Dimitrov G.,Nishioka Y.,19.0,75.0,1835.0,701.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.36,3.0,1.36,3.37,1.0
1,Brisbane,Brisbane International,2018-12-31,ATP250,Outdoor,Hard,1st Round,3,Bedene A.,Raonic M.,67.0,18.0,780.0,1855.0,0.0,6.0,3.0,6.0,,,,,,,0.0,2.0,Completed,4.5,1.18,4.68,1.23,0.0
1,Brisbane,Brisbane International,2018-12-31,ATP250,Outdoor,Hard,1st Round,3,Mayer L.,Kecmanovic M.,56.0,131.0,895.0,433.0,3.0,6.0,1.0,6.0,,,,,,,0.0,2.0,Completed,2.25,1.57,2.32,1.67,0.0
1,Brisbane,Brisbane International,2018-12-31,ATP250,Outdoor,Hard,1st Round,3,Sandgren T.,Millman J.,61.0,38.0,814.0,1083.0,6.0,7.0,7.0,6.0,0.0,6.0,,,,,1.0,2.0,Completed,2.75,1.4,3.13,1.41,0.0
1,Brisbane,Brisbane International,2018-12-31,ATP250,Outdoor,Hard,1st Round,3,Uchiyama Y.,Humbert U.,185.0,102.0,275.0,572.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2.62,1.44,2.73,1.51,1.0
1,Brisbane,Brisbane International,2019-01-01,ATP250,Outdoor,Hard,1st Round,3,Kudla D.,Fritz T.,63.0,49.0,810.0,974.0,7.0,6.0,6.0,7.0,6.0,4.0,,,,,2.0,1.0,Completed,2.62,1.44,2.8,1.49,1.0
1,Brisbane,Brisbane International,2019-01-01,ATP250,Outdoor,Hard,1st Round,3,Chardy J.,Struff J.L.,40.0,57.0,1050.0,875.0,4.0,6.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,2.1,1.66,2.23,1.72,1.0
1,Brisbane,Brisbane International,2019-01-01,ATP250,Outdoor,Hard,1st Round,3,Duckworth J.,Murray A.,234.0,240.0,206.0,200.0,3.0,6.0,4.0,6.0,,,,,,,0.0,2.0,Completed,3.5,1.28,3.29,1.38,0.0
1,Brisbane,Brisbane International,2019-01-01,ATP250,Outdoor,Hard,1st Round,3,Kyrgios N.,Harrison R.,35.0,62.0,1125.0,810.0,7.0,6.0,5.0,7.0,7.0,6.0,,,,,2.0,1.0,Completed,1.4,2.75,1.47,2.87,1.0
1,Brisbane,Brisbane International,2019-01-01,ATP250,Outdoor,Hard,1st Round,3,Kokkinakis T.,Tsonga J.W.,146.0,239.0,367.0,200.0,6.0,7.0,4.0,6.0,,,,,,,0.0,2.0,Completed,1.57,2.25,1.7,2.27,0.0
1,Brisbane,Brisbane International,2019-01-01,ATP250,Outdoor,Hard,1st Round,3,Popyrin A.,De Minaur A.,147.0,31.0,367.0,1298.0,2.0,6.0,2.0,6.0,,,,,,,0.0,2.0,Completed,4.33,1.2,4.98,1.21,0.0
1,Brisbane,Brisbane International,2019-01-01,ATP250,Outdoor,Hard,1st Round,3,Thompson J.,Bolt A.,72.0,154.0,715.0,352.0,6.0,3.0,6.0,0.0,,,,,,,2.0,0.0,Completed,1.33,3.25,1.37,3.35,1.0
1,Brisbane,Brisbane International,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3,Dimitrov G.,Millman J.,19.0,38.0,1835.0,1083.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.4,2.75,1.47,2.9,1.0
1,Brisbane,Brisbane International,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3,Uchiyama Y.,Edmund K.,185.0,14.0,275.0,2150.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,4.0,1.22,4.87,1.22,1.0
1,Brisbane,Brisbane International,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3,Kudla D.,Nishikori K.,63.0,9.0,810.0,3590.0,5.0,7.0,2.0,6.0,,,,,,,0.0,2.0,Completed,5.0,1.16,5.42,1.19,0.0
1,Brisbane,Brisbane International,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3,Raonic M.,Kecmanovic M.,18.0,131.0,1855.0,433.0,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.2,4.33,1.22,4.86,1.0
1,Brisbane,Brisbane International,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3,Chardy J.,Kyrgios N.,40.0,35.0,1050.0,1125.0,6.0,7.0,6.0,2.0,6.0,3.0,,,,,2.0,1.0,Completed,3.0,1.36,3.24,1.4,1.0
1,Brisbane,Brisbane International,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3,Medvedev D.,Murray A.,16.0,240.0,1977.0,200.0,7.0,5.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.83,1.83,1.9,2.0,1.0
1,Brisbane,Brisbane International,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3,De Minaur A.,Thompson J.,31.0,72.0,1298.0,715.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.36,3.0,1.39,3.28,1.0
1,Brisbane,Brisbane International,2019-01-03,ATP250,Outdoor,Hard,2nd Round,3,Daniel T.,Tsonga J.W.,77.0,239.0,691.0,200.0,6.0,7.0,3.0,6.0,,,,,,,0.0,2.0,Completed,3.75,1.25,4.23,1.27,0.0
1,Brisbane,Brisbane International,2019-01-03,ATP250,Outdoor,Hard,Quarterfinals,3,Uchiyama Y.,Chardy J.,185.0,40.0,275.0,1050.0,4.0,6.0,6.0,3.0,6.0,7.0,,,,,1.0,2.0,Completed,2.3,1.61,2.45,1.64,0.0
1,Brisbane,Brisbane International,2019-01-03,ATP250,Outdoor,Hard,Quarterfinals,3,Nishikori K.,Dimitrov G.,9.0,19.0,3590.0,1835.0,7.0,5.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.61,2.3,1.68,2.36,1.0
1,Brisbane,Brisbane International,2019-01-04,ATP250,Outdoor,Hard,Quarterfinals,3,Medvedev D.,Raonic M.,16.0,18.0,1977.0,1855.0,6.0,7.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,2.0,1.8,2.16,1.8,1.0
1,Brisbane,Brisbane International,2019-01-04,ATP250,Outdoor,Hard,Quarterfinals,3,Tsonga J.W.,De Minaur A.,239.0,31.0,200.0,1298.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2.5,1.53,2.5,1.61,1.0
1,Brisbane,Brisbane International,2019-01-05,ATP250,Outdoor,Hard,Semifinals,3,Nishikori K.,Chardy J.,9.0,40.0,3590.0,1050.0,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.16,5.0,1.2,5.3,1.0
1,Brisbane,Brisbane International,2019-01-05,ATP250,Outdoor,Hard,Semifinals,3,Tsonga J.W.,Medvedev D.,239.0,16.0,200.0,1977.0,6.0,7.0,2.0,6.0,,,,,,,0.0,2.0,Completed,2.3,1.61,2.3,1.71,0.0
1,Brisbane,Brisbane International,2019-01-06,ATP250,Outdoor,Hard,The Final,3,Nishikori K.,Medvedev D.,9.0,16.0,3590.0,1977.0,6.0,4.0,3.0,6.0,6.0,2.0,,,,,2.0,1.0,Completed,1.57,2.37,1.66,2.4,1.0
2,Doha,Qatar Exxon Mobil Open,2018-12-31,ATP250,Outdoor,Hard,1st Round,3,Berrettini M.,Bautista Agut R.,54.0,24.0,932.0,1605.0,1.0,6.0,4.0,6.0,,,,,,,0.0,2.0,Completed,3.4,1.3,3.5,1.34,0.0
2,Doha,Qatar Exxon Mobil Open,2018-12-31,ATP250,Outdoor,Hard,1st Round,3,Jarry N.,Haase R.,43.0,50.0,1022.0,965.0,6.0,7.0,6.0,4.0,7.0,6.0,,,,,2.0,1.0,Completed,2.1,1.66,2.07,1.83,1.0
2,Doha,Qatar Exxon Mobil Open,2018-12-31,ATP250,Outdoor,Hard,1st Round,3,Lorenzi P.,Verdasco F.,109.0,28.0,525.0,1410.0,3.0,6.0,4.0,6.0,,,,,,,0.0,2.0,Completed,4.0,1.22,4.62,1.23,0.0
2,Doha,Qatar Exxon Mobil Open,2018-12-31,ATP250,Outdoor,Hard,1st Round,3,Kohlschreiber P.,Berdych T.,34.0,71.0,1125.0,715.0,4.0,6.0,6.0,7.0,,,,,,,0.0,2.0,Completed,1.44,2.62,1.47,2.86,0.0
2,Doha,Qatar Exxon Mobil Open,2018-12-31,ATP250,Outdoor,Hard,1st Round,3,Basilashvili N.,Ramos-Vinolas A.,21.0,65.0,1795.0,790.0,6.0,1.0,1.0,6.0,6.0,1.0,,,,,2.0,1.0,Completed,1.4,2.75,1.49,2.81,1.0
2,Doha,Qatar Exxon Mobil Open,2018-12-31,ATP250,Outdoor,Hard,1st Round,3,Rublev A.,Seppi A.,68.0,37.0,760.0,1106.0,7.0,5.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.5,2.5,1.48,2.83,1.0
2,Doha,Qatar Exxon Mobil Open,2018-12-31,ATP250,Outdoor,Hard,1st Round,3,Marterer M.,Gojowczyk P.,74.0,59.0,706.0,855.0,6.0,1.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.9,1.8,2.2,1.74,1.0
2,Doha,Qatar Exxon Mobil Open,2019-01-01,ATP250,Outdoor,Hard,1st Round,3,Berankis R.,Goffin D.,116.0,22.0,507.0,1785.0,3.0,6.0,6.0,4.0,7.0,6.0,,,,,2.0,1.0,Completed,3.4,1.3,3.3,1.38,1.0
2,Doha,Qatar Exxon Mobil Open,2019-01-01,ATP250,Outdoor,Hard,1st Round,3,Pella G.,Ilkel C.,58.0,249.0,860.0,183.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.18,4.5,1.23,4.68,1.0
2,Doha,Qatar Exxon Mobil Open,2019-01-01,ATP250,Outdoor,Hard,1st Round,3,Stakhovsky S.,Cecchinato M.,134.0,20.0,424.0,1819.0,4.0,6.0,2.0,6.0,,,,,,,0.0,2.0,Completed,1.72,2.0,1.67,2.33,0.0
2,Doha,Qatar Exxon Mobil Open,2019-01-01,ATP250,Outdoor,Hard,1st Round,3,Mannarino A.,Lajovic D.,42.0,48.0,1045.0,985.0,3.0,6.0,6.0,7.0,,,,,,,0.0,2.0,Completed,2.1,1.66,2.15,1.78,0.0
2,Doha,Qatar Exxon Mobil Open,2019-01-01,ATP250,Outdoor,Hard,1st Round,3,Garcia-Lopez G.,Zayid M.S.,105.0,,543.0,,6.0,1.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.01,26.0,1.02,18.93,1.0
2,Doha,Qatar Exxon Mobil Open,2019-01-01,ATP250,Outdoor,Hard,1st Round,3,Wawrinka S.,Khachanov K.,66.0,11.0,785.0,2835.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.75,1.4,3.09,1.42,1.0
2,Doha,Qatar Exxon Mobil Open,2019-01-01,ATP250,Outdoor,Hard,1st Round,3,Fucsovics M.,Copil M.,36.0,60.0,1122.0,823.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.61,2.2,1.69,2.28,1.0
