ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Player A,Player B,ARank,BRank,APts,BPts,A1,B1,A2,B2,A3,B3,A4,B4,A5,B5,Asets,Bsets,Comment,B365A,B365B,PSA,PSB,Result
1,Brisbane,Brisbane International,2013-12-30,ATP250,Outdoor,Hard,1st Round,3,Benneteau J.,Matosevic M.,35.0,61.0,1160.0,774.0,7.0,5.0,4.0,6.0,6.0,7.0,,,,,1.0,2.0,Completed,2.0,1.72,2.01,1.88,0.0
1,Brisbane,Brisbane International,2013-12-30,ATP250,Outdoor,Hard,1st Round,3,Duckworth J.,Nieminen J.,136.0,39.0,425.0,1090.0,2.0,6.0,3.0,6.0,,,,,,,0.0,2.0,Completed,3.5,1.28,3.47,1.35,0.0
1,Brisbane,Brisbane International,2013-12-30,ATP250,Outdoor,Hard,1st Round,3,Istomin D.,Cilic M.,45.0,37.0,965.0,1130.0,7.0,6.0,6.0,7.0,4.0,6.0,,,,,1.0,2.0,Completed,3.0,1.36,3.22,1.39,0.0
1,Brisbane,Brisbane International,2013-12-30,ATP250,Outdoor,Hard,1st Round,3,Querrey S.,Tursunov D.,46.0,29.0,960.0,1244.0,7.0,5.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.9,1.8,1.99,1.9,1.0
1,Brisbane,Brisbane International,2013-12-30,ATP250,Outdoor,Hard,1st Round,3,Haase R.,Dimitrov G.,43.0,23.0,977.0,1520.0,2.0,6.0,3.0,6.0,,,,,,,0.0,2.0,Completed,3.75,1.25,4.01,1.28,0.0
1,Brisbane,Brisbane International,2013-12-31,ATP250,Outdoor,Hard,1st Round,3,Mahut N.,Sijsling I.,50.0,70.0,918.0,697.0,3.0,6.0,6.0,4.0,6.0,4.0,,,,,2.0,1.0,Completed,2.25,1.57,2.49,1.6,1.0
1,Brisbane,Brisbane International,2013-12-31,ATP250,Outdoor,Hard,1st Round,3,Kuznetsov Al.,Ebden M.,142.0,68.0,397.0,706.0,3.0,6.0,4.0,6.0,,,,,,,0.0,2.0,Completed,3.75,1.25,3.39,1.36,0.0
1,Brisbane,Brisbane International,2013-12-31,ATP250,Outdoor,Hard,1st Round,3,Lopez F.,Kukushkin M.,28.0,67.0,1310.0,721.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.66,2.1,1.75,2.18,1.0
1,Brisbane,Brisbane International,2013-12-31,ATP250,Outdoor,Hard,1st Round,3,Mannarino A.,Chardy J.,59.0,34.0,784.0,1175.0,6.0,7.0,5.0,7.0,,,,,,,0.0,2.0,Completed,2.62,1.44,2.6,1.55,0.0
1,Brisbane,Brisbane International,2013-12-31,ATP250,Outdoor,Hard,1st Round,3,Sugita Y.,Copil M.,170.0,147.0,310.0,369.0,6.0,7.0,7.0,6.0,6.0,7.0,,,,,1.0,2.0,Completed,2.25,1.57,2.43,1.63,0.0
1,Brisbane,Brisbane International,2013-12-31,ATP250,Outdoor,Hard,1st Round,3,Hewitt L.,Kokkinakis T.,60.0,628.0,780.0,41.0,6.0,3.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.28,3.5,1.36,3.42,1.0
1,Brisbane,Brisbane International,2013-12-31,ATP250,Outdoor,Hard,1st Round,3,Groth S.,Harrison R.,172.0,100.0,307.0,549.0,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2.75,1.4,2.94,1.45,1.0
1,Brisbane,Brisbane International,2014-01-01,ATP250,Outdoor,Hard,2nd Round,3,Querrey S.,Matosevic M.,46.0,61.0,960.0,774.0,7.0,5.0,6.0,7.0,4.0,6.0,,,,,1.0,2.0,Completed,1.61,2.2,1.67,2.35,0.0
1,Brisbane,Brisbane International,2014-01-01,ATP250,Outdoor,Hard,2nd Round,3,Cilic M.,Dimitrov G.,37.0,23.0,1130.0,1520.0,7.0,5.0,7.0,5.0,,,,,,,2.0,0.0,Completed,2.2,1.61,2.37,1.66,1.0
1,Brisbane,Brisbane International,2014-01-01,ATP250,Outdoor,Hard,2nd Round,3,Nishikori K.,Ebden M.,17.0,68.0,1915.0,706.0,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.36,3.0,1.4,3.21,1.0
1,Brisbane,Brisbane International,2014-01-01,ATP250,Outdoor,Hard,2nd Round,3,Federer R.,Nieminen J.,6.0,39.0,4205.0,1090.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.1,6.5,1.14,6.7,1.0
1,Brisbane,Brisbane International,2014-01-02,ATP250,Outdoor,Hard,2nd Round,3,Chardy J.,Mahut N.,34.0,50.0,1175.0,918.0,7.0,5.0,6.0,7.0,6.0,3.0,,,,,2.0,1.0,Completed,1.66,2.1,1.85,2.07,1.0
1,Brisbane,Brisbane International,2014-01-02,ATP250,Outdoor,Hard,2nd Round,3,Copil M.,Simon G.,147.0,19.0,369.0,1790.0,7.0,5.0,6.0,3.0,,,,,,,2.0,0.0,Completed,2.75,1.4,2.98,1.45,1.0
1,Brisbane,Brisbane International,2014-01-02,ATP250,Outdoor,Hard,2nd Round,3,Hewitt L.,Lopez F.,60.0,28.0,780.0,1310.0,7.0,5.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.61,2.2,1.54,2.66,1.0
1,Brisbane,Brisbane International,2014-01-02,ATP250,Outdoor,Hard,2nd Round,3,Herbert P.H.,Groth S.,151.0,172.0,344.0,307.0,6.0,4.0,6.0,7.0,6.0,7.0,,,,,1.0,2.0,Completed,2.25,1.57,,,0.0
1,Brisbane,Brisbane International,2014-01-03,ATP250,Outdoor,Hard,Quarterfinals,3,Nishikori K.,Cilic M.,17.0,37.0,1915.0,1130.0,6.0,4.0,5.0,7.0,6.0,2.0,,,,,2.0,1.0,Completed,2.1,1.66,2.14,1.81,1.0
1,Brisbane,Brisbane International,2014-01-03,ATP250,Outdoor,Hard,Quarterfinals,3,Copil M.,Hewitt L.,147.0,60.0,369.0,780.0,4.0,6.0,2.0,6.0,,,,,,,0.0,2.0,Completed,3.4,1.3,3.79,1.32,0.0
1,Brisbane,Brisbane International,2014-01-03,ATP250,Outdoor,Hard,Quarterfinals,3,Chardy J.,Groth S.,34.0,172.0,1175.0,307.0,7.0,5.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.36,3.0,1.43,3.1,1.0
1,Brisbane,Brisbane International,2014-01-03,ATP250,Outdoor,Hard,Quarterfinals,3,Matosevic M.,Federer R.,61.0,6.0,774.0,4205.0,1.0,6.0,1.0,6.0,,,,,,,0.0,2.0,Completed,9.0,1.05,10.75,1.08,0.0
1,Brisbane,Brisbane International,2014-01-04,ATP250,Outdoor,Hard,Semifinals,3,Hewitt L.,Nishikori K.,60.0,17.0,780.0,1915.0,5.0,7.0,6.0,4.0,6.0,3.0,,,,,2.0,1.0,Completed,2.37,1.57,2.45,1.64,1.0
1,Brisbane,Brisbane International,2014-01-04,ATP250,Outdoor,Hard,Semifinals,3,Chardy J.,Federer R.,34.0,6.0,1175.0,4205.0,3.0,6.0,7.0,6.0,3.0,6.0,,,,,1.0,2.0,Completed,9.0,1.07,10.75,1.08,0.0
1,Brisbane,Brisbane International,2014-01-05,ATP250,Outdoor,Hard,The Final,3,Federer R.,Hewitt L.,6.0,60.0,4205.0,780.0,1.0,6.0,6.0,4.0,3.0,6.0,,,,,1.0,2.0,Completed,1.14,5.0,1.17,6.0,0.0
