ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Player A,Player B,ARank,BRank,APts,BPts,A1,B1,A2,B2,A3,B3,A4,B4,A5,B5,Asets,Bsets,Comment,B365A,B365B,PSA,PSB,Result
1,Brisbane,Brisbane International,2011-01-02,ATP250,Outdoor,Hard,1st Round,3,Lopez F.,Petzschner P.,32.0,57.0,1300.0,839.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.53,2.37,1.67,2.33,1.0
1,Brisbane,Brisbane International,2011-01-02,ATP250,Outdoor,Hard,1st Round,3,Istomin D.,De Bakker T.,40.0,43.0,1031.0,975.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.9,1.8,2.12,1.79,1.0
1,Brisbane,Brisbane International,2011-01-03,ATP250,Outdoor,Hard,1st Round,3,Sela D.,Berrer M.,75.0,58.0,643.0,835.0,6.0,1.0,6.0,7.0,2.0,6.0,,,,,1.0,2.0,Completed,1.83,1.83,1.91,1.98,0.0
1,Brisbane,Brisbane International,2011-01-03,ATP250,Outdoor,Hard,1st Round,3,Brands D.,Kubot L.,104.0,70.0,541.0,695.0,2.0,6.0,2.0,6.0,,,,,,,0.0,2.0,Completed,2.0,1.72,2.15,1.78,0.0
1,Brisbane,Brisbane International,2011-01-03,ATP250,Outdoor,Hard,1st Round,3,Tomic B.,Mayer F.,208.0,37.0,239.0,1128.0,2.0,6.0,2.0,6.0,,,,,,,0.0,2.0,Completed,3.0,1.36,3.1,1.41,0.0
1,Brisbane,Brisbane International,2011-01-03,ATP250,Outdoor,Hard,1st Round,3,Simon G.,Giraldo S.,41.0,64.0,1005.0,785.0,2.0,6.0,3.0,6.0,,,,,,,0.0,2.0,Completed,1.28,3.5,1.3,3.82,0.0
1,Brisbane,Brisbane International,2011-01-03,ATP250,Outdoor,Hard,1st Round,3,Dolgopolov O.,Andreev I.,48.0,79.0,940.0,622.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.53,2.37,1.56,2.59,1.0
1,Brisbane,Brisbane International,2011-01-03,ATP250,Outdoor,Hard,1st Round,3,Roddick A.,Matosevic M.,8.0,138.0,3665.0,398.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.06,8.0,1.09,8.65,1.0
1,Brisbane,Brisbane International,2011-01-04,ATP250,Outdoor,Hard,1st Round,3,Kamke T.,Stepanek R.,67.0,62.0,724.0,795.0,7.0,5.0,1.0,6.0,4.0,6.0,,,,,1.0,2.0,Completed,3.0,1.36,3.07,1.42,0.0
1,Brisbane,Brisbane International,2011-01-04,ATP250,Outdoor,Hard,1st Round,3,Becker B.,Verdasco F.,53.0,9.0,877.0,3240.0,6.0,1.0,6.0,7.0,6.0,3.0,,,,,2.0,1.0,Completed,3.0,1.36,3.31,1.38,1.0
1,Brisbane,Brisbane International,2011-01-04,ATP250,Outdoor,Hard,1st Round,3,Luczak P.,Anderson K.,137.0,61.0,400.0,813.0,4.0,6.0,4.0,6.0,,,,,,,0.0,2.0,Completed,,,,,0.0
1,Brisbane,Brisbane International,2011-01-04,ATP250,Outdoor,Hard,1st Round,3,Clement A.,Berankis R.,78.0,87.0,627.0,587.0,4.0,6.0,3.0,6.0,,,,,,,0.0,2.0,Completed,2.37,1.53,2.67,1.53,0.0
1,Brisbane,Brisbane International,2011-01-04,ATP250,Outdoor,Hard,1st Round,3,Fish M.,Mannarino A.,16.0,83.0,1991.0,600.0,6.0,1.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.22,4.0,1.29,3.96,1.0
1,Brisbane,Brisbane International,2011-01-04,ATP250,Outdoor,Hard,1st Round,3,Millman J.,Ebden M.,204.0,196.0,243.0,263.0,6.0,4.0,2.0,6.0,4.0,6.0,,,,,1.0,2.0,Completed,2.25,1.57,2.43,1.62,0.0
1,Brisbane,Brisbane International,2011-01-04,ATP250,Outdoor,Hard,1st Round,3,Serra F.,Baghdatis M.,69.0,20.0,715.0,1785.0,6.0,3.0,5.0,7.0,4.0,6.0,,,,,1.0,2.0,Completed,4.0,1.22,5.32,1.19,0.0
1,Brisbane,Brisbane International,2011-01-04,ATP250,Outdoor,Hard,1st Round,3,Harrison R.,Soderling R.,173.0,5.0,309.0,5580.0,2.0,6.0,4.0,6.0,,,,,,,0.0,2.0,Completed,8.0,1.06,9.94,1.08,0.0
1,Brisbane,Brisbane International,2011-01-05,ATP250,Outdoor,Hard,2nd Round,3,Mayer F.,Berankis R.,37.0,87.0,1128.0,587.0,6.0,4.0,4.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,1.53,2.37,1.63,2.44,1.0
1,Brisbane,Brisbane International,2011-01-05,ATP250,Outdoor,Hard,2nd Round,3,Giraldo S.,Becker B.,64.0,53.0,785.0,877.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.2,1.61,2.23,1.74,1.0
1,Brisbane,Brisbane International,2011-01-05,ATP250,Outdoor,Hard,2nd Round,3,Dolgopolov O.,Roddick A.,48.0,8.0,940.0,3665.0,4.0,6.0,1.0,6.0,,,,,,,0.0,2.0,Completed,4.0,1.22,4.23,1.27,0.0
1,Brisbane,Brisbane International,2011-01-05,ATP250,Outdoor,Hard,2nd Round,3,Lopez F.,Anderson K.,32.0,61.0,1300.0,813.0,3.0,6.0,1.0,6.0,,,,,,,0.0,2.0,Completed,2.37,1.53,2.31,1.69,0.0
1,Brisbane,Brisbane International,2011-01-05,ATP250,Outdoor,Hard,2nd Round,3,Kubot L.,Baghdatis M.,70.0,20.0,695.0,1785.0,2.0,6.0,2.0,6.0,,,,,,,0.0,2.0,Completed,3.5,1.28,4.1,1.28,0.0
1,Brisbane,Brisbane International,2011-01-05,ATP250,Outdoor,Hard,2nd Round,3,Stepanek R.,Fish M.,62.0,16.0,795.0,1991.0,6.0,3.0,6.0,1.0,,,,,,,2.0,0.0,Completed,2.2,1.61,2.61,1.56,1.0
1,Brisbane,Brisbane International,2011-01-06,ATP250,Outdoor,Hard,2nd Round,3,Istomin D.,Ebden M.,40.0,196.0,1031.0,263.0,4.0,6.0,4.0,6.0,,,,,,,0.0,2.0,Completed,1.28,3.5,1.32,3.73,0.0
1,Brisbane,Brisbane International,2011-01-06,ATP250,Outdoor,Hard,2nd Round,3,Soderling R.,Berrer M.,5.0,58.0,5580.0,835.0,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.08,7.0,1.09,8.91,1.0
1,Brisbane,Brisbane International,2011-01-06,ATP250,Outdoor,Hard,Quarterfinals,3,Anderson K.,Giraldo S.,61.0,64.0,813.0,785.0,2.0,6.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,1.53,2.37,1.6,2.55,1.0
1,Brisbane,Brisbane International,2011-01-06,ATP250,Outdoor,Hard,Quarterfinals,3,Baghdatis M.,Roddick A.,20.0,8.0,1785.0,3665.0,2.0,6.0,3.0,6.0,,,,,,,0.0,2.0,Completed,2.75,1.4,3.23,1.41,0.0
1,Brisbane,Brisbane International,2011-01-07,ATP250,Outdoor,Hard,Quarterfinals,3,Stepanek R.,Mayer F.,62.0,37.0,795.0,1128.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.57,2.25,1.67,2.37,1.0
1,Brisbane,Brisbane International,2011-01-07,ATP250,Outdoor,Hard,Quarterfinals,3,Ebden M.,Soderling R.,196.0,5.0,263.0,5580.0,3.0,6.0,2.0,6.0,,,,,,,0.0,2.0,Completed,11.0,1.03,13.9,1.05,0.0
1,Brisbane,Brisbane International,2011-01-08,ATP250,Outdoor,Hard,Semifinals,3,Stepanek R.,Soderling R.,62.0,5.0,795.0,5580.0,3.0,6.0,5.0,7.0,,,,,,,0.0,2.0,Completed,3.5,1.28,3.71,1.33,0.0
1,Brisbane,Brisbane International,2011-01-08,ATP250,Outdoor,Hard,Semifinals,3,Roddick A.,Anderson K.,8.0,61.0,3665.0,813.0,6.0,2.0,4.0,6.0,6.0,2.0,,,,,2.0,1.0,Completed,1.12,5.5,1.17,6.08,1.0
1,Brisbane,Brisbane International,2011-01-09,ATP250,Outdoor,Hard,The Final,3,Soderling R.,Roddick A.,5.0,8.0,5580.0,3665.0,6.0,3.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.57,2.25,1.66,2.4,1.0
2,Chennai,Chennai Open,2011-01-03,ATP250,Outdoor,Hard,1st Round,3,Kendrick R.,Gremelmayr D.,115.0,121.0,486.0,469.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.5,2.5,1.54,2.64,1.0
2,Chennai,Chennai Open,2011-01-03,ATP250,Outdoor,Hard,1st Round,3,Phau B.,Bolelli S.,102.0,107.0,551.0,532.0,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.72,2.0,1.8,2.11,1.0
2,Chennai,Chennai Open,2011-01-03,ATP250,Outdoor,Hard,1st Round,3,Nishikori K.,Cilic M.,98.0,14.0,554.0,2300.0,4.0,6.0,7.0,6.0,6.0,2.0,,,,,2.0,1.0,Completed,3.25,1.33,3.29,1.37,1.0
2,Chennai,Chennai Open,2011-01-03,ATP250,Outdoor,Hard,1st Round,3,Haider-Maurer A.,Robert S.,119.0,122.0,476.0,460.0,4.0,6.0,4.0,6.0,,,,,,,0.0,2.0,Completed,1.5,2.5,1.57,2.54,0.0
2,Chennai,Chennai Open,2011-01-03,ATP250,Outdoor,Hard,1st Round,3,Daniel M.,Dodig I.,96.0,88.0,564.0,586.0,2.0,6.0,2.0,6.0,,,,,,,0.0,2.0,Completed,3.4,1.3,3.35,1.37,0.0
2,Chennai,Chennai Open,2011-01-03,ATP250,Outdoor,Hard,1st Round,3,Schwank E.,Tipsarevic J.,74.0,49.0,655.0,935.0,3.0,6.0,4.0,6.0,,,,,,,0.0,2.0,Completed,5.0,1.14,5.18,1.2,0.0
2,Chennai,Chennai Open,2011-01-04,ATP250,Outdoor,Hard,1st Round,3,Kudryavtsev A.,Bhambri Y.,60.0,505.0,1006.0,60.0,6.0,2.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.4,2.75,1.46,2.9,1.0
2,Chennai,Chennai Open,2011-01-04,ATP250,Outdoor,Hard,1st Round,3,Roger-Vasselin E.,Gasquet R.,124.0,30.0,456.0,1385.0,1.0,6.0,3.0,6.0,,,,,,,0.0,2.0,Completed,5.0,1.14,5.22,1.19,0.0
2,Chennai,Chennai Open,2011-01-04,ATP250,Outdoor,Hard,1st Round,3,Malisse X.,Ilhan M.,60.0,90.0,816.0,574.0,6.0,3.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.5,2.5,1.6,2.48,1.0
2,Chennai,Chennai Open,2011-01-04,ATP250,Outdoor,Hard,1st Round,3,Berdych T.,Gil F.,6.0,101.0,3955.0,551.0,6.0,0.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.05,9.0,1.09,8.93,1.0
2,Chennai,Chennai Open,2011-01-04,ATP250,Outdoor,Hard,1st Round,3,Dancevic F.,Haase R.,269.0,65.0,172.0,778.0,7.0,6.0,4.0,6.0,4.0,6.0,,,,,1.0,2.0,Completed,3.25,1.33,3.38,1.36,0.0
2,Chennai,Chennai Open,2011-01-04,ATP250,Outdoor,Hard,1st Round,3,Machado R.,Falla A.,93.0,105.0,573.0,540.0,5.0,7.0,3.0,6.0,,,,,,,0.0,2.0,Completed,2.62,1.44,2.72,1.51,0.0
2,Chennai,Chennai Open,2011-01-04,ATP250,Outdoor,Hard,1st Round,3,Wawrinka S.,Bopanna R.,21.0,626.0,1755.0,32.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.05,9.0,1.07,10.48,1.0
