ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Player A,Player B,ARank,BRank,APts,BPts,A1,B1,A2,B2,A3,B3,A4,B4,A5,B5,Asets,Bsets,Comment,B365A,B365B,PSA,PSB,Result
1,Adelaide,Next Generation Adelaide International,2007-12-31,International,Outdoor,Hard,1st Round,3,Querrey S.,Darcis S.,63.0,86.0,573.0,474.0,7.0,5.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.53,2.37,1.667,2.4,1.0
1,Adelaide,Next Generation Adelaide International,2007-12-31,International,Outdoor,Hard,1st Round,3,Sirianni J.,Stepanek R.,195.0,30.0,218.0,930.0,7.0,6.0,4.0,3.0,,,,,,,1.0,0.0,Retired,6.5,1.1,5.94,1.184,1.0
1,Adelaide,Next Generation Adelaide International,2007-12-31,International,Outdoor,Hard,1st Round,3,Del Potro J.M.,Russell M.,44.0,82.0,690.0,481.0,3.0,6.0,3.0,6.0,,,,,,,0.0,2.0,Completed,1.25,3.75,1.364,3.55,0.0
1,Adelaide,Next Generation Adelaide International,2007-12-31,International,Outdoor,Hard,1st Round,3,Smeets R.,Becker B.,150.0,84.0,286.0,476.0,6.0,3.0,4.0,6.0,2.0,6.0,,,,,1.0,2.0,Completed,2.75,1.4,2.76,1.538,0.0
1,Adelaide,Next Generation Adelaide International,2007-12-31,International,Outdoor,Hard,1st Round,3,Zverev M.,Mayer F.,88.0,55.0,468.0,611.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.72,2.0,1.893,2.02,1.0
1,Adelaide,Next Generation Adelaide International,2007-12-31,International,Outdoor,Hard,1st Round,3,Llodra M.,Simon G.,93.0,29.0,460.0,955.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,2.5,1.5,2.34,1.694,1.0
1,Adelaide,Next Generation Adelaide International,2008-01-01,International,Outdoor,Hard,1st Round,3,Benneteau J.,Mathieu P.H.,68.0,25.0,540.0,1320.0,6.0,7.0,5.0,7.0,,,,,,,0.0,2.0,Completed,2.62,1.44,2.76,1.538,0.0
1,Adelaide,Next Generation Adelaide International,2008-01-01,International,Outdoor,Hard,1st Round,3,Jones A.,Korolev E.,131.0,80.0,338.0,487.0,2.0,6.0,6.0,7.0,,,,,,,0.0,2.0,Completed,,,,,0.0
1,Adelaide,Next Generation Adelaide International,2008-01-01,International,Outdoor,Hard,1st Round,3,Odesnik W.,Guccione C.,126.0,91.0,357.0,462.0,5.0,7.0,6.0,7.0,,,,,,,0.0,2.0,Completed,2.25,1.57,2.59,1.592,0.0
1,Adelaide,Next Generation Adelaide International,2008-01-01,International,Outdoor,Hard,1st Round,3,Klec I.,Nieminen J.,224.0,27.0,184.0,995.0,2.0,6.0,4.0,6.0,,,,,,,0.0,2.0,Completed,4.5,1.16,5.5,1.2,0.0
1,Adelaide,Next Generation Adelaide International,2008-01-01,International,Outdoor,Hard,1st Round,3,Tsonga J.W.,Hanescu V.,43.0,76.0,714.0,517.0,6.0,3.0,4.0,6.0,7.0,5.0,,,,,2.0,1.0,Completed,1.28,3.5,1.364,3.55,1.0
1,Adelaide,Next Generation Adelaide International,2008-01-01,International,Outdoor,Hard,1st Round,3,Grosjean S.,Spadea V.,53.0,77.0,621.0,515.0,6.0,4.0,1.0,6.0,3.0,6.0,,,,,1.0,2.0,Completed,1.38,2.87,1.467,2.94,0.0
1,Adelaide,Next Generation Adelaide International,2008-01-01,International,Outdoor,Hard,1st Round,3,Falla A.,Acasuso J.,81.0,65.0,481.0,566.0,3.0,6.0,6.0,7.0,,,,,,,0.0,2.0,Completed,1.9,1.8,1.885,2.03,0.0
1,Adelaide,Next Generation Adelaide International,2008-01-01,International,Outdoor,Hard,1st Round,3,Hewitt L.,Sela D.,21.0,64.0,1365.0,573.0,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.14,5.0,1.222,5.1,1.0
1,Adelaide,Next Generation Adelaide International,2008-01-01,International,Outdoor,Hard,1st Round,3,Dancevic F.,Bolelli S.,72.0,67.0,521.0,541.0,6.0,2.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.57,2.25,1.645,2.45,1.0
1,Adelaide,Next Generation Adelaide International,2008-01-01,International,Outdoor,Hard,1st Round,3,Gulbis E.,Golubev A.,61.0,177.0,585.0,239.0,6.0,7.0,6.0,4.0,6.0,2.0,,,,,2.0,1.0,Completed,1.4,2.75,1.51,2.81,1.0
