ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Player A,Player B,ARank,BRank,APts,BPts,A1,B1,A2,B2,A3,B3,A4,B4,A5,B5,Asets,Bsets,Comment,B365A,B365B,PSA,PSB,Result
1,Brisbane,Brisbane International,2010-01-04,ATP250,Outdoor,Hard,1st Round,3,Nieminen J.,Gasquet R.,88.0,52.0,568.0,850.0,3.0,6.0,6.0,4.0,4.0,6.0,,,,,1.0,2.0,Completed,2.62,1.44,2.74,1.526,0.0
1,Brisbane,Brisbane International,2010-01-04,ATP250,Outdoor,Hard,1st Round,3,Clement A.,Odesnik W.,63.0,105.0,667.0,521.0,4.0,6.0,6.0,7.0,,,,,,,0.0,2.0,Completed,1.57,2.25,1.813,2.14,0.0
1,Brisbane,Brisbane International,2010-01-04,ATP250,Outdoor,Hard,1st Round,3,Petzschner P.,Gicquel M.,80.0,58.0,587.0,744.0,3.0,6.0,1.0,6.0,,,,,,,0.0,2.0,Completed,2.2,1.61,2.36,1.676,0.0
1,Brisbane,Brisbane International,2010-01-04,ATP250,Outdoor,Hard,1st Round,3,Chardy J.,Falla A.,32.0,81.0,1102.0,587.0,4.0,6.0,4.0,6.0,,,,,,,0.0,2.0,Completed,1.44,2.62,1.581,2.58,0.0
1,Brisbane,Brisbane International,2010-01-04,ATP250,Outdoor,Hard,1st Round,3,Levy H.,Llodra M.,119.0,67.0,461.0,649.0,6.0,2.0,6.0,0.0,,,,,,,2.0,0.0,Completed,3.0,1.36,2.17,1.787,1.0
1,Brisbane,Brisbane International,2010-01-04,ATP250,Outdoor,Hard,1st Round,3,Chela J.I.,Bellucci T.,73.0,36.0,611.0,1021.0,3.0,6.0,6.0,3.0,1.0,6.0,,,,,1.0,2.0,Completed,2.2,1.61,2.22,1.758,0.0
1,Brisbane,Brisbane International,2010-01-04,ATP250,Outdoor,Hard,1st Round,3,Millman J.,Stepanek R.,306.0,12.0,137.0,2625.0,4.0,6.0,0.0,6.0,,,,,,,0.0,2.0,Completed,10.0,1.04,9.95,1.087,0.0
1,Brisbane,Brisbane International,2010-01-04,ATP250,Outdoor,Hard,1st Round,3,Roddick A.,Luczak P.,7.0,77.0,4410.0,598.0,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.08,7.0,1.121,7.83,1.0
1,Brisbane,Brisbane International,2010-01-05,ATP250,Outdoor,Hard,1st Round,3,Tomic B.,Dolgopolov O.,286.0,131.0,150.0,413.0,4.0,6.0,4.0,6.0,,,,,,,0.0,2.0,Completed,2.0,1.72,2.22,1.758,0.0
1,Brisbane,Brisbane International,2010-01-05,ATP250,Outdoor,Hard,1st Round,3,Berdych T.,Lindahl N.,20.0,251.0,1655.0,179.0,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.12,5.5,1.163,6.26,1.0
1,Brisbane,Brisbane International,2010-01-05,ATP250,Outdoor,Hard,1st Round,3,Baghdatis M.,Fish M.,42.0,55.0,945.0,790.0,7.0,5.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.36,3.0,1.377,3.41,1.0
1,Brisbane,Brisbane International,2010-01-05,ATP250,Outdoor,Hard,1st Round,3,Ball C.,Zverev M.,134.0,78.0,400.0,590.0,7.0,5.0,6.0,1.0,,,,,,,2.0,0.0,Completed,2.1,1.66,1.917,2.01,1.0
1,Brisbane,Brisbane International,2010-01-05,ATP250,Outdoor,Hard,1st Round,3,Querrey S.,Blake J.,25.0,44.0,1320.0,935.0,6.0,4.0,3.0,6.0,4.0,6.0,,,,,1.0,2.0,Completed,2.0,1.72,2.2,1.769,0.0
1,Brisbane,Brisbane International,2010-01-05,ATP250,Outdoor,Hard,1st Round,3,Ebden M.,Melzer J.,285.0,28.0,151.0,1260.0,7.0,5.0,6.0,1.0,,,,,,,2.0,0.0,Completed,5.0,1.14,5.57,1.19,1.0
1,Brisbane,Brisbane International,2010-01-05,ATP250,Outdoor,Hard,1st Round,3,Serra F.,Reister J.,65.0,173.0,665.0,284.0,6.0,7.0,7.0,6.0,7.0,5.0,,,,,2.0,1.0,Completed,1.44,2.62,1.483,2.9,1.0
1,Brisbane,Brisbane International,2010-01-05,ATP250,Outdoor,Hard,1st Round,3,Monfils G.,Dent T.,13.0,76.0,2610.0,602.0,7.0,6.0,6.0,7.0,6.0,2.0,,,,,2.0,1.0,Completed,1.22,4.0,1.294,4.05,1.0
1,Brisbane,Brisbane International,2010-01-06,ATP250,Outdoor,Hard,2nd Round,3,Gicquel M.,Blake J.,58.0,44.0,744.0,935.0,3.0,6.0,6.0,3.0,6.0,7.0,,,,,1.0,2.0,Completed,3.0,1.36,3.15,1.424,0.0
1,Brisbane,Brisbane International,2010-01-06,ATP250,Outdoor,Hard,2nd Round,3,Stepanek R.,Dolgopolov O.,12.0,131.0,2625.0,413.0,5.0,7.0,7.0,6.0,6.0,2.0,,,,,2.0,1.0,Completed,1.12,5.5,1.159,6.39,1.0
1,Brisbane,Brisbane International,2010-01-06,ATP250,Outdoor,Hard,2nd Round,3,Odesnik W.,Falla A.,105.0,81.0,521.0,587.0,6.0,7.0,6.0,2.0,6.0,1.0,,,,,2.0,1.0,Completed,2.25,1.57,2.4,1.658,1.0
1,Brisbane,Brisbane International,2010-01-06,ATP250,Outdoor,Hard,2nd Round,3,Roddick A.,Ball C.,7.0,134.0,4410.0,400.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.06,8.0,1.125,7.65,1.0
1,Brisbane,Brisbane International,2010-01-06,ATP250,Outdoor,Hard,2nd Round,3,Ebden M.,Gasquet R.,285.0,52.0,151.0,850.0,3.0,6.0,4.0,6.0,,,,,,,0.0,2.0,Completed,4.33,1.2,4.45,1.258,0.0
1,Brisbane,Brisbane International,2010-01-06,ATP250,Outdoor,Hard,2nd Round,3,Levy H.,Bellucci T.,119.0,36.0,461.0,1021.0,4.0,6.0,6.0,4.0,4.0,6.0,,,,,1.0,2.0,Completed,2.75,1.4,2.83,1.5,0.0
1,Brisbane,Brisbane International,2010-01-06,ATP250,Outdoor,Hard,2nd Round,3,Monfils G.,Serra F.,13.0,65.0,2610.0,665.0,6.0,7.0,7.0,6.0,6.0,1.0,,,,,2.0,1.0,Completed,1.16,4.5,1.211,5.17,1.0
1,Brisbane,Brisbane International,2010-01-06,ATP250,Outdoor,Hard,2nd Round,3,Baghdatis M.,Berdych T.,42.0,20.0,945.0,1655.0,0.0,6.0,1.0,6.0,,,,,,,0.0,2.0,Completed,1.9,1.8,1.99,1.935,0.0
1,Brisbane,Brisbane International,2010-01-07,ATP250,Outdoor,Hard,Quarterfinals,3,Odesnik W.,Stepanek R.,105.0,12.0,521.0,2625.0,6.0,7.0,1.0,6.0,,,,,,,0.0,2.0,Completed,4.33,1.2,4.96,1.222,0.0
1,Brisbane,Brisbane International,2010-01-07,ATP250,Outdoor,Hard,Quarterfinals,3,Blake J.,Monfils G.,44.0,13.0,935.0,2610.0,6.0,3.0,3.0,6.0,4.0,6.0,,,,,1.0,2.0,Completed,2.25,1.57,2.38,1.667,0.0
1,Brisbane,Brisbane International,2010-01-08,ATP250,Outdoor,Hard,Quarterfinals,3,Berdych T.,Bellucci T.,20.0,36.0,1655.0,1021.0,7.0,6.0,2.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,1.22,4.0,1.322,3.8,1.0
1,Brisbane,Brisbane International,2010-01-08,ATP250,Outdoor,Hard,Quarterfinals,3,Gasquet R.,Roddick A.,52.0,7.0,850.0,4410.0,3.0,6.0,6.0,7.0,,,,,,,0.0,2.0,Completed,3.75,1.25,4.06,1.293,0.0
1,Brisbane,Brisbane International,2010-01-09,ATP250,Outdoor,Hard,Semifinals,3,Monfils G.,Stepanek R.,13.0,12.0,2610.0,2625.0,2.0,6.0,1.0,6.0,,,,,,,0.0,2.0,Completed,1.61,2.2,1.685,2.35,0.0
1,Brisbane,Brisbane International,2010-01-09,ATP250,Outdoor,Hard,Semifinals,3,Roddick A.,Berdych T.,7.0,20.0,4410.0,1655.0,1.0,6.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,1.3,3.4,1.357,3.54,1.0
1,Brisbane,Brisbane International,2010-01-10,ATP250,Outdoor,Hard,The Final,3,Stepanek R.,Roddick A.,12.0,7.0,2625.0,4410.0,6.0,7.0,6.0,7.0,,,,,,,0.0,2.0,Completed,2.87,1.4,3.08,1.439,0.0
2,Chennai,Chennai Open,2010-01-04,ATP250,Outdoor,Hard,1st Round,3,Kunitsyn I.,Cilic M.,104.0,14.0,525.0,2430.0,2.0,6.0,4.0,6.0,,,,,,,0.0,2.0,Completed,5.5,1.12,6.63,1.151,0.0
2,Chennai,Chennai Open,2010-01-04,ATP250,Outdoor,Hard,1st Round,3,Greul S.,Hajek J.,59.0,103.0,739.0,526.0,6.0,3.0,2.0,6.0,4.0,6.0,,,,,1.0,2.0,Completed,1.44,2.62,1.524,2.75,0.0
2,Chennai,Chennai Open,2010-01-04,ATP250,Outdoor,Hard,1st Round,3,Giraldo S.,Phau B.,107.0,111.0,516.0,496.0,6.0,4.0,6.0,7.0,6.0,3.0,,,,,2.0,1.0,Completed,2.0,1.72,2.14,1.813,1.0
2,Chennai,Chennai Open,2010-01-04,ATP250,Outdoor,Hard,1st Round,3,Moya C.,Tipsarevic J.,446.0,38.0,75.0,1015.0,3.0,6.0,6.0,7.0,,,,,,,0.0,2.0,Completed,2.75,1.4,3.11,1.433,0.0
2,Chennai,Chennai Open,2010-01-04,ATP250,Outdoor,Hard,1st Round,3,De Bakker T.,Ram R.,96.0,79.0,541.0,590.0,6.0,1.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.9,1.8,2.11,1.833,1.0
2,Chennai,Chennai Open,2010-01-05,ATP250,Outdoor,Hard,1st Round,3,Ward J.,Granollers M.,272.0,91.0,162.0,553.0,7.0,5.0,2.0,6.0,2.0,6.0,,,,,1.0,2.0,Completed,3.0,1.36,2.97,1.465,0.0
2,Chennai,Chennai Open,2010-01-05,ATP250,Outdoor,Hard,1st Round,3,Russell M.,Amritraj P.,83.0,212.0,579.0,222.0,6.0,3.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.5,2.5,1.562,2.64,1.0
2,Chennai,Chennai Open,2010-01-05,ATP250,Outdoor,Hard,1st Round,3,Soderling R.,Ginepri R.,8.0,100.0,3410.0,529.0,4.0,6.0,5.0,7.0,,,,,,,0.0,2.0,Completed,1.08,7.0,1.12,7.9,0.0
2,Chennai,Chennai Open,2010-01-05,ATP250,Outdoor,Hard,1st Round,3,Lacko L.,Lu Y.H.,82.0,98.0,580.0,537.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.9,1.8,1.926,2.0,1.0
2,Chennai,Chennai Open,2010-01-05,ATP250,Outdoor,Hard,1st Round,3,Haase R.,Yang T.H.,447.0,341.0,75.0,119.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.33,3.25,1.385,3.36,1.0
2,Chennai,Chennai Open,2010-01-05,ATP250,Outdoor,Hard,1st Round,3,Schuettler R.,Devvarman S.,85.0,126.0,575.0,441.0,5.0,7.0,2.0,6.0,,,,,,,0.0,2.0,Completed,2.2,1.61,2.27,1.725,0.0
2,Chennai,Chennai Open,2010-01-05,ATP250,Outdoor,Hard,1st Round,3,Ventura S.,Berrer M.,109.0,74.0,506.0,608.0,3.0,6.0,2.0,6.0,,,,,,,0.0,2.0,Completed,3.5,1.28,3.85,1.316,0.0
2,Chennai,Chennai Open,2010-01-05,ATP250,Outdoor,Hard,1st Round,3,Sela D.,Istomin D.,43.0,102.0,936.0,527.0,6.0,1.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.8,1.9,2.03,1.901,1.0
2,Chennai,Chennai Open,2010-01-05,ATP250,Outdoor,Hard,1st Round,3,Sorensen L.,Robert S.,293.0,108.0,144.0,508.0,2.0,6.0,1.0,6.0,,,,,,,0.0,2.0,Completed,2.5,1.5,2.57,1.585,0.0
2,Chennai,Chennai Open,2010-01-05,ATP250,Outdoor,Hard,1st Round,3,Brands D.,Kim K.,92.0,117.0,550.0,482.0,2.0,6.0,2.0,6.0,,,,,,,0.0,2.0,Completed,1.66,2.1,1.833,2.11,0.0
2,Chennai,Chennai Open,2010-01-05,ATP250,Outdoor,Hard,1st Round,3,Bopanna R.,Wawrinka S.,391.0,21.0,95.0,1635.0,1.0,6.0,4.0,6.0,,,,,,,0.0,2.0,Completed,5.5,1.12,6.19,1.165,0.0
