ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Player A,Player B,ARank,BRank,APts,BPts,A1,B1,A2,B2,A3,B3,A4,B4,A5,B5,Asets,Bsets,Comment,B365A,B365B,PSA,PSB,Result
1,Adelaide,Next Generation Hardcourts,2005-01-03,International,Outdoor,Hard,1st Round,3,Saulnier C.,Baccanello P.,53.0,324.0,,,6.0,2.0,7,6,,,,,,,2.0,0.0,Completed,1.286,3.25,1.305,3.78,1.0
1,Adelaide,Next Generation Hardcourts,2005-01-03,International,Outdoor,Hard,1st Round,3,Enqvist T.,Sluiter R.,72.0,82.0,,,6.0,3.0,6,1,,,,,,,2.0,0.0,Completed,1.833,1.833,1.99,1.84,1.0
1,Adelaide,Next Generation Hardcourts,2005-01-03,International,Outdoor,Hard,1st Round,3,Melzer J.,Berdych T.,39.0,45.0,,,6.0,4.0,4,6,7,6,,,,,2.0,1.0,Completed,1.8,1.909,1.901,1.917,1.0
1,Adelaide,Next Generation Hardcourts,2005-01-03,International,Outdoor,Hard,1st Round,3,Rochus O.,Dupuis A.,66.0,79.0,,,6.0,3.0,3,6,6,1,,,,,2.0,1.0,Completed,1.667,2.1,1.621,2.41,1.0
1,Adelaide,Next Generation Hardcourts,2005-01-03,International,Outdoor,Hard,1st Round,3,Mayer F.,Arthurs W.,35.0,101.0,,,6.0,4.0,3,6,7,5,,,,,2.0,1.0,Completed,1.615,2.2,1.787,2.07,1.0
1,Adelaide,Next Generation Hardcourts,2005-01-03,International,Outdoor,Hard,1st Round,3,Schalken S.,Kiefer N.,57.0,21.0,,,2.0,6.0,1,2,,,,,,,0.0,1.0,Retired,3.0,1.333,3.1,1.408,0.0
1,Adelaide,Next Generation Hardcourts,2005-01-04,International,Outdoor,Hard,1st Round,3,Martin A.,Malisse X.,68.0,48.0,,,2.0,6.0,6,7,,,,,,,0.0,2.0,Completed,2.5,1.5,2.54,1.575,0.0
1,Adelaide,Next Generation Hardcourts,2005-01-04,International,Outdoor,Hard,1st Round,3,Starace P.,Benneteau J.,76.0,65.0,,,3.0,6.0,4,6,,,,,,,0.0,2.0,Completed,2.375,1.533,2.62,1.549,0.0
1,Adelaide,Next Generation Hardcourts,2005-01-04,International,Outdoor,Hard,1st Round,3,Stepanek R.,Kohlschreiber P.,33.0,88.0,,,6.0,3.0,6,4,,,,,,,2.0,0.0,Completed,1.4,2.75,1.435,3.0,1.0
1,Adelaide,Next Generation Hardcourts,2005-01-04,International,Outdoor,Hard,1st Round,3,Ginepri R.,Dent T.,63.0,32.0,,,1.0,6.0,6,2,2,6,,,,,1.0,2.0,Completed,2.1,1.667,2.19,1.719,0.0
1,Adelaide,Next Generation Hardcourts,2005-01-04,International,Outdoor,Hard,1st Round,3,Kimmich M.,Johansson J.,309.0,11.0,,,2.0,6.0,4,6,,,,,,,0.0,2.0,Completed,7.5,1.06,11.75,1.069,0.0
1,Adelaide,Next Generation Hardcourts,2005-01-04,International,Outdoor,Hard,1st Round,3,Nieminen J.,Calleri A.,77.0,58.0,,,4.0,6.0,6,3,6,7,,,,,1.0,2.0,Completed,1.8,1.909,1.877,1.943,0.0
1,Adelaide,Next Generation Hardcourts,2005-01-04,International,Outdoor,Hard,1st Round,3,Lisnard J.R.,de Chaunac S.,132.0,220.0,,,6.0,4.0,7,6,,,,,,,2.0,0.0,Completed,1.533,2.375,1.685,2.26,1.0
1,Adelaide,Next Generation Hardcourts,2005-01-04,International,Outdoor,Hard,1st Round,3,Sargsian S.,Chela J.I.,75.0,26.0,,,1.0,6.0,1,6,,,,,,,0.0,2.0,Completed,2.2,1.615,2.4,1.625,0.0
