ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Player A,Player B,ARank,BRank,APts,BPts,A1,B1,A2,B2,A3,B3,A4,B4,A5,B5,Asets,Bsets,Comment,B365A,B365B,PSA,PSB,Result
1,Brisbane,Brisbane International,2017-12-31,ATP250,Outdoor,Hard,1st Round,3,Schwartzman D.,Dolgopolov O.,26.0,169.0,1675.0,315.0,4.0,6.0,6.0,7.0,,,,,,,0.0,2.0,Completed,1.61,2.2,1.71,2.24,0.0
1,Brisbane,Brisbane International,2017-12-31,ATP250,Outdoor,Hard,1st Round,3,De Minaur A.,Johnson S.,209.0,44.0,245.0,1055.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.75,1.4,3.14,1.41,1.0
1,Brisbane,Brisbane International,2018-01-01,ATP250,Outdoor,Hard,1st Round,3,Harrison R.,Mayer L.,47.0,52.0,1010.0,909.0,6.0,4.0,3.0,6.0,6.0,2.0,,,,,2.0,1.0,Completed,1.61,2.2,1.66,2.35,1.0
1,Brisbane,Brisbane International,2018-01-01,ATP250,Outdoor,Hard,1st Round,3,Tiafoe F.,Ebden M.,79.0,76.0,662.0,670.0,3.0,6.0,2.0,6.0,,,,,,,0.0,2.0,Completed,1.5,2.5,1.64,2.38,0.0
1,Brisbane,Brisbane International,2018-01-01,ATP250,Outdoor,Hard,1st Round,3,Smith J.P.,Zverev M.,218.0,33.0,235.0,1302.0,4.0,6.0,5.0,7.0,,,,,,,0.0,2.0,Completed,2.75,1.4,3.0,1.44,0.0
1,Brisbane,Brisbane International,2018-01-01,ATP250,Outdoor,Hard,1st Round,3,Zeballos H.,Escobedo E.,66.0,120.0,768.0,498.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.2,1.61,2.22,1.73,1.0
1,Brisbane,Brisbane International,2018-01-01,ATP250,Outdoor,Hard,1st Round,3,Thompson J.,Donaldson J.,94.0,54.0,593.0,890.0,2.0,6.0,4.0,6.0,,,,,,,0.0,2.0,Completed,1.83,1.83,1.9,1.99,0.0
1,Brisbane,Brisbane International,2018-01-02,ATP250,Outdoor,Hard,1st Round,3,Mmoh M.,Delbonis F.,175.0,67.0,299.0,755.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.66,2.1,1.84,2.06,1.0
1,Brisbane,Brisbane International,2018-01-02,ATP250,Outdoor,Hard,1st Round,3,Chung H.,Muller G.,58.0,25.0,844.0,1695.0,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.53,2.37,1.7,2.26,1.0
1,Brisbane,Brisbane International,2018-01-02,ATP250,Outdoor,Hard,1st Round,3,Shapovalov D.,Edmund K.,51.0,50.0,981.0,992.0,7.0,6.0,6.0,7.0,4.0,6.0,,,,,1.0,2.0,Completed,2.0,1.72,2.1,1.81,0.0
1,Brisbane,Brisbane International,2018-01-02,ATP250,Outdoor,Hard,1st Round,3,Istomin D.,Dzumhur D.,63.0,30.0,809.0,1391.0,6.0,7.0,6.0,3.0,6.0,2.0,,,,,2.0,1.0,Completed,2.62,1.44,2.8,1.49,1.0
1,Brisbane,Brisbane International,2018-01-02,ATP250,Outdoor,Hard,1st Round,3,Polansky P.,Millman J.,137.0,128.0,404.0,436.0,6.0,7.0,0.0,6.0,,,,,,,0.0,2.0,Completed,3.25,1.33,3.57,1.33,0.0
1,Brisbane,Brisbane International,2018-01-03,ATP250,Outdoor,Hard,2nd Round,3,Dolgopolov O.,Zeballos H.,169.0,66.0,315.0,768.0,6.0,1.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.33,3.25,1.36,3.45,1.0
1,Brisbane,Brisbane International,2018-01-03,ATP250,Outdoor,Hard,2nd Round,3,Ebden M.,Kyrgios N.,76.0,21.0,670.0,2010.0,7.0,6.0,6.0,7.0,2.0,6.0,,,,,1.0,2.0,Completed,5.5,1.14,5.64,1.18,0.0
