ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Player A,Player B,ARank,BRank,APts,BPts,A1,B1,A2,B2,A3,B3,A4,B4,A5,B5,Asets,Bsets,Comment,B365A,B365B,PSA,PSB,Result
1,Adelaide,Next Generation Adelaide International,2006-01-02,International,Outdoor,Hard,1st Round,3,Calleri A.,Berdych T.,51.0,24.0,692.0,1200.0,4.0,6.0,7,6,4,6,,,,,1,2.0,Completed,2.75,1.39,3.04,1.446,0.0
1,Adelaide,Next Generation Adelaide International,2006-01-02,International,Outdoor,Hard,1st Round,3,Kohlschreiber P.,Guccione C.,86.0,156.0,470.0,265.0,6.0,4.0,6,3,,,,,,,2.0,0,Completed,1.53,2.37,1.719,2.29,1.0
1,Adelaide,Next Generation Adelaide International,2006-01-02,International,Outdoor,Hard,1st Round,3,Luczak P.,Malisse X.,146.0,47.0,286.0,731.0,6.0,7.0,3,6,,,,,,,0,2.0,Completed,3.25,1.28,3.36,1.391,0.0
1,Adelaide,Next Generation Adelaide International,2006-01-02,International,Outdoor,Hard,1st Round,3,Melzer J.,Robredo T.,52.0,19.0,690.0,1490.0,5.0,7.0,4,6,,,,,,,0,2.0,Completed,2.37,1.53,2.55,1.606,0.0
1,Adelaide,Next Generation Adelaide International,2006-01-02,International,Outdoor,Hard,1st Round,3,Ancic M.,Clement A.,21.0,69.0,1360.0,558.0,6.0,0.0,6,2,,,,,,,2.0,0,Completed,1.44,2.62,1.549,2.72,1.0
1,Adelaide,Next Generation Adelaide International,2006-01-03,International,Outdoor,Hard,1st Round,3,Mayer F.,Monaco J.,72.0,85.0,519.0,477.0,6.0,2.0,6,4,,,,,,,2.0,0,Completed,1.5,2.5,1.606,2.55,1.0
1,Adelaide,Next Generation Adelaide International,2006-01-03,International,Outdoor,Hard,1st Round,3,Seppi A.,Pashanski B.,68.0,82.0,562.0,498.0,6.0,4.0,6,4,,,,,,,2.0,0,Completed,1.4,2.75,1.524,2.77,1.0
1,Adelaide,Next Generation Adelaide International,2006-01-03,International,Outdoor,Hard,1st Round,3,Philippoussis M.,Spadea V.,172.0,75.0,228.0,515.0,6.0,4.0,3,6,6,4,,,,,2.0,1,Completed,1.83,1.83,1.877,2.04,1.0
1,Adelaide,Next Generation Adelaide International,2006-01-03,International,Outdoor,Hard,1st Round,3,Karlovic I.,Chela J.I.,70.0,39.0,550.0,815.0,6.0,3.0,3,6,6,1,,,,,2.0,1,Completed,1.9,1.8,2.21,1.763,1.0
1,Adelaide,Next Generation Adelaide International,2006-01-03,International,Outdoor,Hard,1st Round,3,Blake J.,Martin A.,23.0,50.0,1230.0,711.0,6.0,3.0,6,3,,,,,,,2.0,0,Completed,1.12,5.5,1.163,6.55,1.0
